agent,depth,avg_nodes,avg_time
Minimax_AB,1,85.5,0.013216249994002283
Minimax_NoAB,1,85.5,0.013106700032949448
Expectimax,1,85.5,0.013243449968285859
Minimax_AB,2,574.5,0.06959800003096461
Minimax_NoAB,2,5035.5,0.6494406500132754
Expectimax,2,5035.5,0.6056752500589937
Minimax_AB,3,10595.5,1.1045543999643996
Minimax_NoAB,3,156010.5,15.408604249823838
Expectimax,3,156010.5,15.398718049982563
Minimax_AB,4,37758.0,3.0045952999498695
Minimax_NoAB,4,2948170.5,224.27160139998887
Expectimax,4,2948170.5,221.9162541499827
