game,agent_a,agent_b,a_starts,winner,avg_time_p1,avg_time_p2,nodes_p1,nodes_p2
0,balanceado,RandomAgent,True,balanceado,0.7047307999649396,0.0,20325,0
1,balanceado,RandomAgent,False,balanceado,0.0,0.07877056665408115,0,2756
2,balanceado,RandomAgent,True,balanceado,0.2986308999825269,0.0,9046,0
3,balanceado,RandomAgent,False,balanceado,0.0,0.04109055001754314,0,859
4,balanceado,RandomAgent,True,balanceado,0.30143849994055927,0.0,5235,0
5,balanceado,RandomAgent,False,balanceado,0.0,0.00980756664648652,0,439
6,balanceado,RandomAgent,True,balanceado,0.5872072500642389,0.0,12565,0
7,balanceado,RandomAgent,False,RandomAgent,0.0,0.09832250000908971,0,1044
8,balanceado,RandomAgent,True,balanceado,0.36930596665479243,0.0,10312,0
9,balanceado,RandomAgent,False,balanceado,0.0,0.03404860000591725,0,772
10,balanceado,RandomAgent,True,balanceado,0.008125600055791438,0.0,193,0
11,balanceado,RandomAgent,False,balanceado,0.0,0.09382720000576228,0,2527
12,balanceado,RandomAgent,True,balanceado,0.8281841999851167,0.0,17984,0
13,balanceado,RandomAgent,False,balanceado,0.0,0.08679343333157401,0,2665
14,balanceado,RandomAgent,True,balanceado,0.5496548999799415,0.0,10752,0
15,balanceado,RandomAgent,False,balanceado,0.0,0.1365801333449781,0,5385
16,balanceado,RandomAgent,True,balanceado,0.7262654001048455,0.0,20865,0
17,balanceado,RandomAgent,False,balanceado,0.0,0.045095566737776004,0,1416
18,balanceado,RandomAgent,True,balanceado,0.64253519999329,0.0,12513,0
19,balanceado,RandomAgent,False,balanceado,0.0,0.09389213332906365,0,3249
20,balanceado,RandomAgent,True,balanceado,1.0404140999307856,0.0,20605,0
21,balanceado,RandomAgent,False,balanceado,0.0,0.04615145002026111,0,988
22,balanceado,RandomAgent,True,balanceado,0.3448450332507491,0.0,10432,0
23,balanceado,RandomAgent,False,balanceado,0.0,0.11641973334675033,0,3541
24,balanceado,RandomAgent,True,balanceado,1.029613549937494,0.0,20605,0
25,balanceado,RandomAgent,False,balanceado,0.0,0.1378223333352556,0,4385
26,balanceado,RandomAgent,True,balanceado,0.4842321666268011,0.0,14913,0
27,balanceado,RandomAgent,False,balanceado,0.0,0.0692683666323622,0,2292
28,balanceado,RandomAgent,True,balanceado,0.19245546652625004,0.0,5743,0
29,balanceado,RandomAgent,False,balanceado,0.0,0.10657576673353712,0,3931
0,balanceado,Stratagem,True,Stratagem,0.683445266680792,0.0,20220,0
1,balanceado,Stratagem,False,Stratagem,0.0,0.07670139998663217,0,2164
2,balanceado,Stratagem,True,balanceado,0.6080263500334695,0.0,12854,0
3,balanceado,Stratagem,False,balanceado,0.0,0.17173680003422,0,6170
4,balanceado,Stratagem,True,Stratagem,0.6121070000808686,0.0,12557,0
5,balanceado,Stratagem,False,balanceado,0.0,0.014600649941712618,0,377
6,balanceado,Stratagem,True,balanceado,0.11774686669620375,0.0,3886,0
7,balanceado,Stratagem,False,Stratagem,0.0,0.033003100038816534,0,1233
8,balanceado,Stratagem,True,Stratagem,0.9020162667147815,0.0,25755,0
9,balanceado,Stratagem,False,Stratagem,0.0,0.08051329990848899,0,1947
10,balanceado,Stratagem,True,balanceado,0.7478458500700071,0.0,13899,0
11,balanceado,Stratagem,False,Stratagem,0.0,0.30675214994698763,0,7861
12,balanceado,Stratagem,True,balanceado,0.12301856667424242,0.0,3960,0
13,balanceado,Stratagem,False,Stratagem,0.0,0.02506503346376121,0,1042
14,balanceado,Stratagem,True,balanceado,0.48818563336196047,0.0,14027,0
15,balanceado,Stratagem,False,Stratagem,0.0,0.06330460007302463,0,1494
16,balanceado,Stratagem,True,balanceado,0.10711903334595263,0.0,3685,0
17,balanceado,Stratagem,False,Stratagem,0.0,0.25845404993742704,0,6279
18,balanceado,Stratagem,True,Stratagem,0.896484333400925,0.0,26150,0
19,balanceado,Stratagem,False,Stratagem,0.0,0.032547799947982035,0,1233
20,balanceado,Stratagem,True,Stratagem,0.4526824999290208,0.0,12678,0
21,balanceado,Stratagem,False,balanceado,0.0,0.11962484999094158,0,2711
22,balanceado,Stratagem,True,balanceado,0.2934288999531418,0.0,5661,0
23,balanceado,Stratagem,False,Stratagem,0.0,0.14303190005011857,0,3761
24,balanceado,Stratagem,True,balanceado,0.18901163339614868,0.0,5682,0
25,balanceado,Stratagem,False,Stratagem,0.0,0.05605089998183151,0,2056
26,balanceado,Stratagem,True,Stratagem,0.3006063001230359,0.0,5357,0
27,balanceado,Stratagem,False,Stratagem,0.0,0.23987845005467534,0,5390
28,balanceado,Stratagem,True,balanceado,0.6527072499739006,0.0,12513,0
29,balanceado,Stratagem,False,Stratagem,0.0,0.1820543500361964,0,4119
30,balanceado,Stratagem,True,balanceado,0.43721745000220835,0.0,8700,0
31,balanceado,Stratagem,False,Stratagem,0.0,0.1915507500525564,0,4929
32,balanceado,Stratagem,True,balanceado,0.42682234989479184,0.0,8799,0
33,balanceado,Stratagem,False,Stratagem,0.0,0.07699974998831749,0,1954
34,balanceado,Stratagem,True,balanceado,0.20797286656064293,0.0,5519,0
35,balanceado,Stratagem,False,balanceado,0.0,0.06639293332894643,0,2293
36,balanceado,Stratagem,True,Stratagem,0.34235345001798123,0.0,6412,0
37,balanceado,Stratagem,False,Stratagem,0.0,0.14504136672864357,0,6357
38,balanceado,Stratagem,True,balanceado,0.20595160010270774,0.0,3531,0
39,balanceado,Stratagem,False,Stratagem,0.0,0.07634854991920292,0,1954
40,balanceado,Stratagem,True,balanceado,0.24301684997044504,0.0,4558,0
41,balanceado,Stratagem,False,Stratagem,0.0,0.08178394997958094,0,2207
42,balanceado,Stratagem,True,balanceado,0.20316196667651334,0.0,6343,0
43,balanceado,Stratagem,False,Stratagem,0.0,0.14164694992359728,0,3420
44,balanceado,Stratagem,True,balanceado,0.4361599498661235,0.0,8700,0
45,balanceado,Stratagem,False,Stratagem,0.0,0.07904850004706532,0,1947
46,balanceado,Stratagem,True,balanceado,0.4406241666680823,0.0,13715,0
47,balanceado,Stratagem,False,Stratagem,0.0,0.01117344992235303,0,313
48,balanceado,Stratagem,True,balanceado,0.4421604999806732,0.0,12310,0
49,balanceado,Stratagem,False,Stratagem,0.0,0.13162704999558628,0,3772
50,balanceado,Stratagem,True,Stratagem,0.30344245000742376,0.0,5667,0
51,balanceado,Stratagem,False,Stratagem,0.0,0.08626825001556426,0,2101
52,balanceado,Stratagem,True,balanceado,0.29293279990088195,0.0,5661,0
53,balanceado,Stratagem,False,Stratagem,0.0,0.05568970006424934,0,1482
54,balanceado,Stratagem,True,balanceado,0.509201250039041,0.0,10053,0
55,balanceado,Stratagem,False,Stratagem,0.0,0.12182629993185401,0,3162
56,balanceado,Stratagem,True,Stratagem,0.911842199973762,0.0,17885,0
57,balanceado,Stratagem,False,Stratagem,0.0,0.2812275500036776,0,7223
58,balanceado,Stratagem,True,balanceado,0.5151441998314112,0.0,11101,0
59,balanceado,Stratagem,False,Stratagem,0.0,0.16608929983340204,0,1926
60,balanceado,Stratagem,True,balanceado,0.43063255015295,0.0,8799,0
61,balanceado,Stratagem,False,Stratagem,0.0,0.05948530009482056,0,1455
62,balanceado,Stratagem,True,Stratagem,0.4968937332741916,0.0,15289,0
63,balanceado,Stratagem,False,balanceado,0.0,0.13480233338971934,0,4750
64,balanceado,Stratagem,True,Stratagem,0.7086713666406771,0.0,20730,0
65,balanceado,Stratagem,False,balanceado,0.0,0.08772706667271753,0,3151
66,balanceado,Stratagem,True,balanceado,0.30690396662491065,0.0,9585,0
67,balanceado,Stratagem,False,Stratagem,0.0,0.0951981667118768,0,3174
68,balanceado,Stratagem,True,balanceado,0.15060589998029172,0.0,3371,0
69,balanceado,Stratagem,False,Stratagem,0.0,0.05154274997767061,0,1305
70,balanceado,Stratagem,True,Stratagem,0.7423092334065586,0.0,21416,0
71,balanceado,Stratagem,False,balanceado,0.0,0.052382699912413955,0,1602
72,balanceado,Stratagem,True,balanceado,0.5192310500424355,0.0,11553,0
73,balanceado,Stratagem,False,balanceado,0.0,0.06375060005423923,0,2214
74,balanceado,Stratagem,True,Stratagem,0.6179697000188753,0.0,12557,0
75,balanceado,Stratagem,False,Stratagem,0.0,0.09136919991578907,0,1947
