game,agent_a,agent_b,a_starts,winner,avg_time_p1,avg_time_p2,nodes_p1,nodes_p2
0,Minimax_AB,RandomAgent,True,Minimax_AB,0.705528233355532,0.0,20325,0
1,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.07899440010078251,0,2756
2,Minimax_AB,RandomAgent,True,Minimax_AB,0.2933412999069939,0.0,9046,0
3,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.0365912999259308,0,859
4,Minimax_AB,RandomAgent,True,Minimax_AB,0.2814876999473199,0.0,5235,0
5,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.009617066709324718,0,439
6,Minimax_AB,RandomAgent,True,Minimax_AB,0.5944922498892993,0.0,12565,0
7,Minimax_AB,RandomAgent,False,RandomAgent,0.0,0.10020879982039332,0,1044
8,Minimax_AB,RandomAgent,True,Minimax_AB,0.3913516000999759,0.0,10312,0
9,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.03448140004184097,0,772
10,Minimax_AB,RandomAgent,True,Minimax_AB,0.007756249979138374,0.0,193,0
11,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.09657799988053739,0,2527
12,Minimax_AB,RandomAgent,True,Minimax_AB,0.8788470500148833,0.0,17984,0
13,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.08967926663657029,0,2665
14,Minimax_AB,RandomAgent,True,Minimax_AB,0.6887992999982089,0.0,10752,0
15,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.1729950999530653,0,5385
16,Minimax_AB,RandomAgent,True,Minimax_AB,0.8545794999226928,0.0,20865,0
17,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.046902866723636784,0,1416
18,Minimax_AB,RandomAgent,True,Minimax_AB,0.6984337499598041,0.0,12513,0
19,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.09908793331123888,0,3249
20,Minimax_AB,RandomAgent,True,Minimax_AB,1.097903799964115,0.0,20605,0
21,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.06140704988501966,0,988
22,Minimax_AB,RandomAgent,True,Minimax_AB,0.4075596666273971,0.0,10432,0
23,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.12429456661144893,0,3541
24,Minimax_AB,RandomAgent,True,Minimax_AB,1.152232899912633,0.0,20605,0
25,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.16359116664777199,0,4385
26,Minimax_AB,RandomAgent,True,Minimax_AB,0.5912924666578571,0.0,14913,0
27,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.08333720002944271,0,2292
28,Minimax_AB,RandomAgent,True,Minimax_AB,0.24788200001542768,0.0,5743,0
29,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.1276247000011305,0,3931
30,Minimax_AB,RandomAgent,True,Minimax_AB,0.19205610003943244,0.0,4634,0
31,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.008504700032062829,0,177
32,Minimax_AB,RandomAgent,True,Minimax_AB,0.35279423324391246,0.0,8723,0
33,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.04774906657015284,0,1557
34,Minimax_AB,RandomAgent,True,Minimax_AB,0.4374055748921819,0.0,13441,0
35,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.040657199919223785,0,1228
36,Minimax_AB,RandomAgent,True,Minimax_AB,0.014097800012677908,0.0,141,0
37,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.09821590005109708,0,2573
38,Minimax_AB,RandomAgent,True,Minimax_AB,0.4794759665771077,0.0,12870,0
39,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.03469739994034171,0,829
40,Minimax_AB,RandomAgent,True,Minimax_AB,0.11825320002390072,0.0,3835,0
41,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.001532049966044724,0,22
42,Minimax_AB,RandomAgent,True,Minimax_AB,0.35603970002072555,0.0,9263,0
43,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.20309643330983818,0,6129
44,Minimax_AB,RandomAgent,True,Minimax_AB,1.0714294000063092,0.0,24685,0
45,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.14511760006037852,0,4760
46,Minimax_AB,RandomAgent,True,Minimax_AB,0.6011422999047985,0.0,13088,0
47,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.07063759995313983,0,2026
48,Minimax_AB,RandomAgent,True,Minimax_AB,1.1451726000523195,0.0,19593,0
49,Minimax_AB,RandomAgent,False,Minimax_AB,0.0,0.009401266695931554,0,305
0,Minimax_AB,Stratagem,True,Stratagem,0.8141337666505327,0.0,20220,0
